Wall time,Epoch,F1_macro_val,F1_sporulating_val,Val_loss,Train_loss,Precision_macro,Recall_macro,F1_infected_val
1769502542,41,97.92474365,97.94319916,0.065541908,0.027634915,98.31780243,97.53740692,97.90628815
1769502639,42,97.74533844,97.60207367,0.068359748,0.024502827,97.80189514,97.70024872,97.88860321
1769502739,43,97.69435883,97.72579956,0.071414784,0.024603264,97.3768692,98.01425934,97.66293335
1769502838,44,97.97413635,98.11321259,0.0693978,0.02327474,97.9203949,98.02937317,97.83506775
1769502936,45,97.76932526,97.68955231,0.074990131,0.022256382,97.78912354,97.75144196,97.84909821
1769503030,46,97.85430145,98.06874084,0.074563026,0.023190469,98.039505,97.67002106,97.63987732
1769503139,47,97.84503937,97.98570251,0.074343719,0.022148572,97.69593048,97.99639893,97.70437622
1769503241,48,97.8316803,97.92072296,0.076481193,0.021267837,97.56976318,98.09568024,97.74263
1769503343,49,97.57125092,97.67891693,0.084454492,0.019933265,96.60826111,98.55467224,97.46359253
1769503441,50,97.70849609,97.72875214,0.080791935,0.020252619,97.48937988,97.93112183,97.68825531
1769503539,51,97.75193787,97.83100128,0.078788534,0.01959274,97.39957428,98.11079407,97.67288208
1769503633,52,97.73178101,97.66081238,0.081361584,0.018044066,97.59971619,97.86618805,97.802742
1769503730,53,97.61531067,97.23294067,0.082243264,0.017258542,97.10752869,98.14378357,97.99768066
1769503819,54,97.73658752,97.63524628,0.083989203,0.01736277,97.41596222,98.06269836,97.83792114
1769503907,55,97.50179291,97.31998444,0.083949558,0.017720465,96.80490112,98.21111298,97.68359375
1769503996,56,97.85244751,97.85435486,0.083642118,0.016942635,97.79209137,97.9149704,97.8505249
1769504083,57,97.90930939,97.9125824,0.08740548,0.016932361,97.8693161,97.94933319,97.90602112
1769504171,58,97.77626038,97.67594147,0.088608429,0.017584298,98.21457672,97.34227753,97.87658691
1769504259,59,97.60836029,97.4609375,0.089682475,0.017431589,97.5140686,97.70334625,97.75577545
1769504347,60,97.79231262,97.91937256,0.089483082,0.015878258,97.45795441,98.12901306,97.66524506
1769504434,61,97.77281189,97.74288177,0.0827704,0.015639465,97.97400665,97.57245636,97.802742
1769504521,62,97.89797974,97.96987152,0.084577084,0.014158478,97.99454498,97.80264282,97.82609558
1769504608,63,97.64779663,97.54203796,0.094764657,0.015025982,97.29097748,98.01288605,97.75354767
1769504695,64,97.95362091,97.97781372,0.086391732,0.014202481,98.14167023,97.76759338,97.9294281
1769504782,65,97.80982971,97.81545258,0.083698049,0.014455224,97.81861115,97.80125427,97.80419159
1769504869,66,97.86688232,98.01626587,0.082834199,0.013481312,97.83808899,97.897789,97.71749878
1769504956,67,97.62792206,97.57376862,0.09816312,0.012550715,97.70081329,97.5580368,97.68206787
1769505044,68,97.71207428,97.77341461,0.090162061,0.013117754,97.68888092,97.73770905,97.65073395
1769505131,69,97.63598633,97.50080109,0.089761809,0.01418033,97.4250412,97.85004425,97.77117157
