timestamp,time_elapsed,model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,USDA_number,CHUM_number_if_from_NCGR,other_name,PM,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient_sr2,Gradient-SG_sr2,GradCAM_sr2
NA,0m 44s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,214-W2021009-286_R2,W2021009-286,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,473,202,37,5.196629213483146,39,33.57,NA,0.94,4.13
NA,0m 40s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,215-W2021009-286_R2,W2021009-286,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,482,179,22,3.22108345534407,37,29.43,NA,0.84,3.51
NA,0m 38s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,216-W2021009-286_R2,W2021009-286,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,544,127,14,2.0437956204379564,42,20.58,NA,0.57,2.41
NA,0m 49s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,217-W2021009-298_R2,W2021009-298,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,239,323,119,17.474302496328928,23,64.9,NA,2.03,9
NA,0m 57s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,218-W2021009-298_R2,W2021009-298,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,65,214,416,59.856115107913666,14,90.65,NA,2.91,11.83
NA,0m 58s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,219-W2021009-298_R2,W2021009-298,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,4,68,638,89.85915492957747,3,99.44,NA,3.36,13.59
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,220-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,680,27,5,0.7022471910112359,13,4.49,NA,0.13,0.51
NA,0m 39s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,221-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,471,115,60,9.287925696594428,45,27.09,NA,0.81,3.29
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,222-21398_R2,21398,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,600,28,3,0.4754358161648178,41,4.91,NA,0.14,0.5
NA,0m 49s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,224-W2021010-442_R2,W2021010-442,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,198,318,104,16.7741935483871,88,68.06,NA,1.9,7.87
NA,0m 51s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,225-W2021010-442_R2,W2021010-442,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,127,391,125,19.440124416796262,45,80.25,NA,2.45,10.48
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,226-W2021010-435_R2,W2021010-435,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,662,9,1,0.1488095238095238,23,1.49,NA,0.04,0.15
NA,0m 34s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,227-W2021010-435_R2,W2021010-435,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,679,18,1,0.14326647564469913,19,2.72,NA,0.07,0.28
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,228-W2021010-435_R2,W2021010-435,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,648,19,0,0,40,2.85,NA,0.07,0.3
NA,0m 37s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,229-W2021009-300_R2,W2021009-300,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,575,112,9,1.293103448275862,43,17.39,NA,0.52,2.18
NA,0m 36s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,230-W2021009-300_R2,W2021009-300,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,635,64,16,2.237762237762238,16,11.19,NA,0.31,1.32
NA,0m 43s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,231-W2021009-300_R2,W2021009-300,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,406,220,64,9.27536231884058,29,41.16,NA,1.2,5.38
NA,0m 33s,ResNet,Jan29_22-02-46_2026,2,10-30-2023_10dpi,2,233-W2021006-607_R2,W2021006-607,NA,NA,NA,NA,0.55,0.15,0.7,0.3,0.65,0.2,600,27,1,0.15923566878980894,11,4.46,NA,0.12,0.55
