model_type,model_timestamp,classes,imaging_date,tray,filename,conserved_identifier,infected_threshold,healthy_threshold,sal_threshold,inf_gate,spor_th,leaf_mask_th,clear_patches,hyphal_patches,conidiophore_patches,sporulating_pct,discarded_patches,severity_rate_patch,Gradient-SG_sr2,GradCAM_sr2,Gradient_sr2,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,014-W2021010-424_R2,W2021010-424,0.95,0.3,0.5,0.3,0.5,0.2,16,0,645,97.57942511,0,97.58,9.15,34.73,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,015-W2021010-424_R2,W2021010-424,0.95,0.3,0.5,0.3,0.5,0.2,55,4,542,90.18302829,2,90.85,7.94,29.89,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,016-W2021010-405_R2,W2021010-405,0.95,0.3,0.5,0.3,0.5,0.2,715,13,1,0.137174211,36,1.92,0.17,0.54,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,017-W2021010-405_R2,W2021010-405,0.95,0.3,0.5,0.3,0.5,0.2,691,0,1,0.144508671,4,0.14,0.01,0.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,018-W2021010-405_R2,W2021010-405,0.95,0.3,0.5,0.3,0.5,0.2,669,0,0,0,1,0,0,0,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,019-W2021006-115_R2,W2021006-115,0.95,0.3,0.5,0.3,0.5,0.2,636,14,13,1.960784314,13,4.07,0.3,1,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,020-W2021006-115_R2,W2021006-115,0.95,0.3,0.5,0.3,0.5,0.2,683,9,11,1.564722617,1,2.84,0.23,0.73,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,021-W2021006-115_R2,W2021006-115,0.95,0.3,0.5,0.3,0.5,0.2,632,4,0,0,8,0.63,0.04,0.15,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,022-NUGGET_R2,NUGGET,0.95,0.3,0.5,0.3,0.5,0.2,0,14,671,97.95620438,0,100,10.26,31.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,023-NUGGET_R2,NUGGET,0.95,0.3,0.5,0.3,0.5,0.2,0,1,750,99.86684421,0,100,10.77,38.89,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,024-NUGGET_R2,NUGGET,0.95,0.3,0.5,0.3,0.5,0.2,28,223,454,64.39716312,16,96.03,8.86,28,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,025-21428M_R2,21428M,0.95,0.3,0.5,0.3,0.5,0.2,678,2,0,0,16,0.29,0.03,0.07,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,026-21428M_R2,21428M,0.95,0.3,0.5,0.3,0.5,0.2,638,14,0,0,33,2.15,0.15,0.63,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,027-21428M_R2,21428M,0.95,0.3,0.5,0.3,0.5,0.2,647,4,1,0.153374233,28,0.77,0.06,0.2,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,028-19040M_R2,19040M,0.95,0.3,0.5,0.3,0.5,0.2,681,1,0,0,5,0.15,0.01,0.03,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,029-19040M_R2,19040M,0.95,0.3,0.5,0.3,0.5,0.2,672,0,0,0,11,0,0,0,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,030-19040M_R2,19040M,0.95,0.3,0.5,0.3,0.5,0.2,704,0,0,0,4,0,0,0,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,031-W2021009-266_R2,W2021009-266,0.95,0.3,0.5,0.3,0.5,0.2,70,548,27,4.186046512,32,89.15,7.49,30.75,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,032-W2021009-266_R2,W2021009-266,0.95,0.3,0.5,0.3,0.5,0.2,299,136,38,8.033826638,62,36.79,2.38,8.66,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,033-W2021009-266_R2,W2021009-266,0.95,0.3,0.5,0.3,0.5,0.2,491,67,31,5.263157895,51,16.64,1.32,4.28,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,034-21398M_R2,21398M,0.95,0.3,0.5,0.3,0.5,0.2,707,0,4,0.562587904,1,0.56,0.04,0.12,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,035-21398M_R2,21398M,0.95,0.3,0.5,0.3,0.5,0.2,695,1,10,1.416430595,5,1.56,0.11,0.37,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,036-21398M_R2,21398M,0.95,0.3,0.5,0.3,0.5,0.2,731,0,0,0,4,0,0,0,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,037-W2021009-265_R2,W2021009-265,0.95,0.3,0.5,0.3,0.5,0.2,63,300,162,30.85714286,43,88,6.72,24.06,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,038-W2021009-265_R2,W2021009-265,0.95,0.3,0.5,0.3,0.5,0.2,53,96,542,78.43704776,28,92.33,8.36,22.43,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,039-W2021009-265_R2,W2021009-265,0.95,0.3,0.5,0.3,0.5,0.2,10,219,449,66.22418879,15,98.53,8.93,25.36,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,040-W2021011-552_R2,W2021011-552,0.95,0.3,0.5,0.3,0.5,0.2,1,26,665,96.0982659,3,99.86,10.6,26.1,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,041-W2021011-552_R2,W2021011-552,0.95,0.3,0.5,0.3,0.5,0.2,73,79,438,74.23728814,24,87.63,8.5,22.56,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,042-W2021011-552_R2,W2021011-552,0.95,0.3,0.5,0.3,0.5,0.2,53,74,511,80.09404389,30,91.69,8.51,25.17,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,043-W2021009-273_R2,W2021009-273,0.95,0.3,0.5,0.3,0.5,0.2,1,74,573,88.42592593,0,99.85,9.94,25.29,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,044-W2021009-273_R2,W2021009-273,0.95,0.3,0.5,0.3,0.5,0.2,8,22,567,94.97487437,1,98.66,9.17,26.09,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,045-W2021009-273_R2,W2021009-273,0.95,0.3,0.5,0.3,0.5,0.2,4,52,588,91.30434783,3,99.38,9.43,28.57,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,046-W2021009-259_R2,W2021009-259,0.95,0.3,0.5,0.3,0.5,0.2,216,263,90,15.8172232,59,62.04,4.6,17.2,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,047-W2021009-259_R2,W2021009-259,0.95,0.3,0.5,0.3,0.5,0.2,607,11,1,0.161550889,15,1.94,0.14,0.48,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,048-W2021009-259_R2,W2021009-259,0.95,0.3,0.5,0.3,0.5,0.2,438,99,77,12.54071661,56,28.66,2.17,7,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,049-W2021010-422_R2,W2021010-422,0.95,0.3,0.5,0.3,0.5,0.2,0,67,601,89.97005988,0,100,9.02,28.41,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,050-W2021010-422_R2,W2021010-422,0.95,0.3,0.5,0.3,0.5,0.2,2,30,682,95.51820728,1,99.72,9.13,31.29,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,051-W2021010-422_R2,W2021010-422,0.95,0.3,0.5,0.3,0.5,0.2,0,24,657,96.47577093,0,100,9.01,28.44,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,052-W2021009-269_R2,W2021009-269,0.95,0.3,0.5,0.3,0.5,0.2,5,184,545,74.2506812,5,99.32,8.64,28.63,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,053-W2021009-269_R2,W2021009-269,0.95,0.3,0.5,0.3,0.5,0.2,247,214,53,10.31128405,49,51.95,3.61,13.65,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,054-W2021009-269_R2,W2021009-269,0.95,0.3,0.5,0.3,0.5,0.2,3,310,335,51.69753086,6,99.54,8.83,29.61,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,055-W2021009-262_R2,W2021009-262,0.95,0.3,0.5,0.3,0.5,0.2,458,143,15,2.435064935,49,25.65,1.85,6.95,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,056-W2021009-262_R2,W2021009-262,0.95,0.3,0.5,0.3,0.5,0.2,557,81,18,2.743902439,37,15.09,1.12,4.13,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,057-W2021009-262_R2,W2021009-262,0.95,0.3,0.5,0.3,0.5,0.2,534,18,2,0.36101083,5,3.61,0.26,1,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,058-W2021009-270_R2,W2021009-270,0.95,0.3,0.5,0.3,0.5,0.2,239,167,28,6.451612903,38,44.93,3.5,13.43,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,060-W2021009-270_R2,W2021009-270,0.95,0.3,0.5,0.3,0.5,0.2,577,80,9,1.351351351,60,13.36,0.93,3.67,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,061-W2021009-254_R2,W2021009-254,0.95,0.3,0.5,0.3,0.5,0.2,505,106,3,0.488599349,41,17.75,1.29,5.12,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,062-W2021009-254_R2,W2021009-254,0.95,0.3,0.5,0.3,0.5,0.2,507,111,0,0,57,17.96,1.24,4.66,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,063-W2021009-254_R2,W2021009-254,0.95,0.3,0.5,0.3,0.5,0.2,536,116,0,0,52,17.79,1.26,4.78,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,064-W2021009-248_R2,W2021009-248,0.95,0.3,0.5,0.3,0.5,0.2,251,232,230,32.25806452,39,64.8,5.58,18.64,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,065-W2021009-248_R2,W2021009-248,0.95,0.3,0.5,0.3,0.5,0.2,12,21,687,95.41666667,1,98.33,9.27,25.93,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,066-W2021009-248_R2,W2021009-248,0.95,0.3,0.5,0.3,0.5,0.2,25,247,435,61.52758133,9,96.46,8.64,28.09,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,067-W2021010-408_R2,W2021010-408,0.95,0.3,0.5,0.3,0.5,0.2,0,76,596,88.69047619,7,100,8,25.22,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,068-W2021010-408_R2,W2021010-408,0.95,0.3,0.5,0.3,0.5,0.2,5,397,283,41.31386861,12,99.27,8.33,30.54,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,069-W2021010-408_R2,W2021010-408,0.95,0.3,0.5,0.3,0.5,0.2,8,454,233,33.52517986,7,98.85,8.38,31.34,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,070-21399M_R2,21399M,0.95,0.3,0.5,0.3,0.5,0.2,415,123,16,2.888086643,76,25.09,1.98,6.66,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,071-21399M_R2,21399M,0.95,0.3,0.5,0.3,0.5,0.2,286,206,109,18.13643927,61,52.41,4.14,14.65,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,072-21399M_R2,21399M,0.95,0.3,0.5,0.3,0.5,0.2,181,184,297,44.86404834,52,72.66,5.66,19.25,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,073-W2021010-421_R2,W2021010-421,0.95,0.3,0.5,0.3,0.5,0.2,695,1,0,0,21,0.14,0.01,0.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,074-W2021010-421_R2,W2021010-421,0.95,0.3,0.5,0.3,0.5,0.2,714,12,6,0.819672131,43,2.46,0.18,0.68,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,075-W2021010-421_R2,W2021010-421,0.95,0.3,0.5,0.3,0.5,0.2,680,17,0,0,46,2.44,0.16,0.69,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,076-W2021009-253_R2,W2021009-253,0.95,0.3,0.5,0.3,0.5,0.2,211,188,239,37.46081505,18,66.93,6.12,18.46,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,077-W2021009-253_R2,W2021009-253,0.95,0.3,0.5,0.3,0.5,0.2,124,230,307,46.44478064,23,81.24,7.56,23.61,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,078-W2021009-253_R2,W2021009-253,0.95,0.3,0.5,0.3,0.5,0.2,93,386,188,28.18590705,33,86.06,6.88,24.8,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,079-W2021006-095_R2,W2021006-095,0.95,0.3,0.5,0.3,0.5,0.2,5,68,603,89.20118343,9,99.26,9.86,26.99,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,080-W2021006-095_R2,W2021006-095,0.95,0.3,0.5,0.3,0.5,0.2,4,16,717,97.28629579,1,99.46,9.99,25.97,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,081-W2021006-095_R2,W2021006-095,0.95,0.3,0.5,0.3,0.5,0.2,141,258,251,38.61538462,21,78.31,6.81,21.65,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,082-W2021009-263_R2,W2021009-263,0.95,0.3,0.5,0.3,0.5,0.2,468,145,13,2.076677316,87,25.24,1.72,6.46,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,083-W2021009-263_R2,W2021009-263,0.95,0.3,0.5,0.3,0.5,0.2,532,62,0,0,126,10.44,0.68,2.52,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,084-W2021009-263_R2,W2021009-263,0.95,0.3,0.5,0.3,0.5,0.2,423,150,4,0.693240901,92,26.69,1.74,6.21,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,085-W2021010-416_R2,W2021010-416,0.95,0.3,0.5,0.3,0.5,0.2,155,396,89,13.90625,44,75.78,6.3,21.02,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,086-W2021010-416_R2,W2021010-416,0.95,0.3,0.5,0.3,0.5,0.2,547,70,29,4.489164087,30,15.33,1.15,4.19,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,087-W2021010-416_R2,W2021010-416,0.95,0.3,0.5,0.3,0.5,0.2,390,112,86,14.62585034,67,33.67,2.52,7.94,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,088-W2021006-097_R2,W2021006-097,0.95,0.3,0.5,0.3,0.5,0.2,0,11,657,98.35329341,1,100,9.11,28.86,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,089-W2021006-097_R2,W2021006-097,0.95,0.3,0.5,0.3,0.5,0.2,1,0,644,99.84496124,0,99.84,8.66,35.74,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,090-W2021006-097_R2,W2021006-097,0.95,0.3,0.5,0.3,0.5,0.2,1,0,645,99.84520124,0,99.85,9.25,34.35,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,091-W2021010-394_R2,W2021010-394,0.95,0.3,0.5,0.3,0.5,0.2,737,3,2,0.269541779,0,0.67,0.05,0.18,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,092-W2021010-394_R2,W2021010-394,0.95,0.3,0.5,0.3,0.5,0.2,691,3,4,0.573065903,7,1,0.06,0.25,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,093-W2021010-394_R2,W2021010-394,0.95,0.3,0.5,0.3,0.5,0.2,756,10,1,0.130378096,16,1.43,0.1,0.35,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,094-W2021009-245_R2,W2021009-245,0.95,0.3,0.5,0.3,0.5,0.2,42,197,469,66.24293785,15,94.07,8.99,27.86,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,095-W2021009-245_R2,W2021009-245,0.95,0.3,0.5,0.3,0.5,0.2,2,1,709,99.57865169,0,99.72,10.96,33.54,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,096-W2021009-245_R2,W2021009-245,0.95,0.3,0.5,0.3,0.5,0.2,1,23,539,95.73712256,4,99.82,10.42,29.89,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,097-W2021010-413_R2,W2021010-413,0.95,0.3,0.5,0.3,0.5,0.2,600,1,0,0,5,0.17,0.01,0.03,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,098-W2021010-413_R2,W2021010-413,0.95,0.3,0.5,0.3,0.5,0.2,592,0,1,0.168634064,8,0.17,0.01,0.02,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,099-W2021010-413_R2,W2021010-413,0.95,0.3,0.5,0.3,0.5,0.2,635,9,2,0.309597523,36,1.7,0.1,0.34,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,100-W2021011-565_R2,W2021011-565,0.95,0.3,0.5,0.3,0.5,0.2,60,18,353,81.9025522,19,86.08,7.52,23.4,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,101-W2021011-565_R2,W2021011-565,0.95,0.3,0.5,0.3,0.5,0.2,535,70,22,3.50877193,27,14.67,1.18,4.06,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,102-W2021011-565_R2,W2021011-565,0.95,0.3,0.5,0.3,0.5,0.2,45,144,440,69.95230525,26,92.85,8.16,26.55,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,103-W2021009-258_R2,W2021009-258,0.95,0.3,0.5,0.3,0.5,0.2,325,255,56,8.805031447,32,48.9,4.19,15.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,104-W2021009-258_R2,W2021009-258,0.95,0.3,0.5,0.3,0.5,0.2,116,382,102,17,34,80.67,6.34,23.42,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,105-W2021009-258_R2,W2021009-258,0.95,0.3,0.5,0.3,0.5,0.2,291,246,128,19.2481203,35,56.24,4.3,15.2,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,106-W2021006-105_R2,W2021006-105,0.95,0.3,0.5,0.3,0.5,0.2,4,15,606,96.96,5,99.36,10.06,32.99,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,107-W2021006-105_R2,W2021006-105,0.95,0.3,0.5,0.3,0.5,0.2,10,2,725,98.37177748,1,98.64,9.14,35.6,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,108-W2021006-105_R2,W2021006-105,0.95,0.3,0.5,0.3,0.5,0.2,3,0,710,99.57924264,2,99.58,9.36,33.25,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,109-W2021006-102_R2,W2021006-102,0.95,0.3,0.5,0.3,0.5,0.2,39,39,647,89.24137931,5,94.62,9.46,30.79,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,110-W2021006-102_R2,W2021006-102,0.95,0.3,0.5,0.3,0.5,0.2,8,0,672,98.82352941,0,98.82,10.71,35.42,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,111-W2021006-102_R2,W2021006-102,0.95,0.3,0.5,0.3,0.5,0.2,0,6,667,99.10846954,0,100,9.54,26.15,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,112-W2021010-395_R2,W2021010-395,0.95,0.3,0.5,0.3,0.5,0.2,2,12,660,97.92284866,1,99.7,9.93,26.74,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,113-W2021010-395_R2,W2021010-395,0.95,0.3,0.5,0.3,0.5,0.2,8,0,689,98.85222382,0,98.85,9.85,32.16,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,114-W2021010-395_R2,W2021010-395,0.95,0.3,0.5,0.3,0.5,0.2,13,0,681,98.12680115,0,98.13,9.93,28.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,115-W2021011-573_R2,W2021011-573,0.95,0.3,0.5,0.3,0.5,0.2,21,117,566,80.39772727,14,97.02,9.48,26.32,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,116-W2021011-573_R2,W2021011-573,0.95,0.3,0.5,0.3,0.5,0.2,1,9,708,98.60724234,0,99.86,9.57,27.31,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,117-W2021011-573_R2,W2021011-573,0.95,0.3,0.5,0.3,0.5,0.2,2,5,692,98.99856938,0,99.71,9.89,30.47,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,118-GALENA_R2,GALENA,0.95,0.3,0.5,0.3,0.5,0.2,50,107,492,75.80893683,24,92.3,8.57,25.45,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,119-GALENA_R2,GALENA,0.95,0.3,0.5,0.3,0.5,0.2,183,244,218,33.79844961,33,71.63,6.48,19.98,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,120-GALENA_R2,GALENA,0.95,0.3,0.5,0.3,0.5,0.2,52,235,396,57.9795022,11,92.39,8.48,24.73,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,121-W2021009-255_R2,W2021009-255,0.95,0.3,0.5,0.3,0.5,0.2,652,1,3,0.457317073,10,0.61,0.04,0.12,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,122-W2021009-255_R2,W2021009-255,0.95,0.3,0.5,0.3,0.5,0.2,599,2,0,0,11,0.33,0.02,0.07,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,123-W2021009-255_R2,W2021009-255,0.95,0.3,0.5,0.3,0.5,0.2,542,128,3,0.44576523,38,19.47,1.48,5.81,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,124-W2021010-400_R2,W2021010-400,0.95,0.3,0.5,0.3,0.5,0.2,353,203,72,11.46496815,70,43.79,3.6,11.64,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,125-W2021010-400_R2,W2021010-400,0.95,0.3,0.5,0.3,0.5,0.2,251,202,110,19.53818828,53,55.42,4.6,14.28,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,126-W2021010-400_R2,W2021010-400,0.95,0.3,0.5,0.3,0.5,0.2,346,147,40,7.504690432,74,35.08,2.77,8.59,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,127-W2021006-119_R2,W2021006-119,0.95,0.3,0.5,0.3,0.5,0.2,4,13,703,97.63888889,2,99.44,10.52,36.66,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,128-W2021006-119_R2,W2021006-119,0.95,0.3,0.5,0.3,0.5,0.2,67,71,464,77.07641196,23,88.87,8.33,26.05,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,129-W2021006-119_R2,W2021006-119,0.95,0.3,0.5,0.3,0.5,0.2,230,54,368,56.44171779,34,64.72,5.58,17.4,NA,
ResNet,Jan26_23-15-35_2026,3,10-10-2023_10dpi,2,130-W2021009-252_R2,W2021009-252,0.95,0.3,0.5,0.3,0.5,0.2,604,7,2,0.326264274,8,1.47,0.11,0.31,NA,
