filename,stem,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
060-W2021010-324_R2.png,060-W2021010-324_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,415945,35585292,45413508,1.1689,0.9159,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\060-W2021010-324_R2_leaf_pred.png
061-W2021011-483_R1.png,061-W2021011-483_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,819935,35588841,45413508,2.3039,1.8055,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\061-W2021011-483_R1_leaf_pred.png
070-W2021011-486_R2.png,070-W2021011-486_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,842976,26977993,45413508,3.1247,1.8562,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\070-W2021011-486_R2_leaf_pred.png
071-W2021010-323_R1.png,071-W2021010-323_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1229470,34081350,45413508,3.6075,2.7073,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\071-W2021010-323_R1_leaf_pred.png
077-W2021010-351_R2.png,077-W2021010-351_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,564824,34757593,45413508,1.625,1.2437,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\077-W2021010-351_R2_leaf_pred.png
084-W2021010-319_R1.png,084-W2021010-319_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,461418,34581710,45413508,1.3343,1.016,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\084-W2021010-319_R1_leaf_pred.png
085-W2021010-630_R1.png,085-W2021010-630_R1,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,218106,35539283,45413508,0.6137,0.4803,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\085-W2021010-630_R1_leaf_pred.png
091-W2021006-056_R2.png,091-W2021006-056_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,722908,34048634,45413508,2.1232,1.5918,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\091-W2021006-056_R2_leaf_pred.png
094-W2021010-315_R2.png,094-W2021010-315_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,250669,35550033,45413508,0.7051,0.552,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\094-W2021010-315_R2_leaf_pred.png
095-W2021011-553_R2.png,095-W2021011-553_R2,2026-02-05T09:30:12,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,678875,32024708,45413508,2.1198,1.4949,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\095-W2021011-553_R2_leaf_pred.png
