filename,run_time,model_type,model_timestamp,epoch,rel_th,prob_th,min_area,step,batch_size,leaf_patch_min,pred_white_pixels,leaf_pixels,total_pixels,pct_infected_of_leaf,pct_infected_of_image,mask_path
071-W2021006-142_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,4287622,38257413,45413508,11.2073,9.4413,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\071-W2021006-142_R1_leaf_pred.png
080-W2021011-586_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,10723191,40071240,45413508,26.7603,23.6123,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\080-W2021011-586_R2_leaf_pred.png
088-W2021009-288_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,13309745,38787492,45413508,34.3145,29.3079,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\088-W2021009-288_R2_leaf_pred.png
091-W2021010-394_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,683877,38818746,45413508,1.7617,1.5059,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\091-W2021010-394_R2_leaf_pred.png
092-W2021010-394_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,1512506,34304635,45413508,4.409,3.3305,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\092-W2021010-394_R1_leaf_pred.png
095-W2021009-283_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,666712,32035474,45413508,2.0812,1.4681,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\095-W2021009-283_R1_leaf_pred.png
097-W2021006-126_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,8840529,36456452,45413508,24.2496,19.4667,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\097-W2021006-126_R2_leaf_pred.png
097-W2021006-611_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,7056358,29309441,45413508,24.0754,15.538,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\097-W2021006-611_R1_leaf_pred.png
098-W2021006-126_R1_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,6555786,36764671,45413508,17.8318,14.4358,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\098-W2021006-126_R1_leaf_pred.png
099-W2021006-611_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,2246034,38380774,45413508,5.852,4.9457,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\099-W2021006-611_R2_leaf_pred.png
102-W2021011-565_R2_10dpi,2026-02-05T07:53:00,DeepLab,Feb04_00-32-07_2026,60,0.2,0.7,200,112,8,0.05,5511070,34182771,45413508,16.1224,12.1353,..\..\results\human_disk_assessments\segmentation\DeepLab-Feb04_00-32-07_2026\102-W2021011-565_R2_leaf_pred.png
